n_nodes,repeat,prober,peer,source,ok,attempts,wallet,models
3,0,node0,16Uiu2HAmG7UwJR5darevAogbtsY5jjKSthzPRwjpwBWiphqUAA53,local,True,1,0x6B4067111e8e39F6Af1774408D3f32b7a82fE87e,qwen3-vl:2b-instruct
3,0,node0,16Uiu2HAkwdnLLxqCL624oTQvYHbgoiXKe5vU3W3DTJnPT7BAvXu1,local,True,1,0x25e43a4fA814ea0a99655310395032F75f84F932,qwen3-vl:2b-instruct
3,0,node1,16Uiu2HAm5afem2vZvFQkqtdhiyZKijg2eegwDQdsjb3aEgz6dY8G,network,True,1,0x857fdF2D6829A03a262952b26CcBB87db8f672A3,qwen3-vl:2b-instruct
3,0,node1,16Uiu2HAkwdnLLxqCL624oTQvYHbgoiXKe5vU3W3DTJnPT7BAvXu1,network,True,1,0x25e43a4fA814ea0a99655310395032F75f84F932,qwen3-vl:2b-instruct
3,0,node2,16Uiu2HAm5afem2vZvFQkqtdhiyZKijg2eegwDQdsjb3aEgz6dY8G,network,True,1,0x857fdF2D6829A03a262952b26CcBB87db8f672A3,qwen3-vl:2b-instruct
3,0,node2,16Uiu2HAmG7UwJR5darevAogbtsY5jjKSthzPRwjpwBWiphqUAA53,network,True,1,0x6B4067111e8e39F6Af1774408D3f32b7a82fE87e,qwen3-vl:2b-instruct
3,1,node0,16Uiu2HAmG7UwJR5darevAogbtsY5jjKSthzPRwjpwBWiphqUAA53,local,True,1,0x6B4067111e8e39F6Af1774408D3f32b7a82fE87e,qwen3-vl:2b-instruct
3,1,node0,16Uiu2HAkwdnLLxqCL624oTQvYHbgoiXKe5vU3W3DTJnPT7BAvXu1,local,True,1,0x25e43a4fA814ea0a99655310395032F75f84F932,qwen3-vl:2b-instruct
3,1,node1,16Uiu2HAm5afem2vZvFQkqtdhiyZKijg2eegwDQdsjb3aEgz6dY8G,network,True,1,0x857fdF2D6829A03a262952b26CcBB87db8f672A3,qwen3-vl:2b-instruct
3,1,node1,16Uiu2HAkwdnLLxqCL624oTQvYHbgoiXKe5vU3W3DTJnPT7BAvXu1,network,True,1,0x25e43a4fA814ea0a99655310395032F75f84F932,qwen3-vl:2b-instruct
3,1,node2,16Uiu2HAm5afem2vZvFQkqtdhiyZKijg2eegwDQdsjb3aEgz6dY8G,network,True,1,0x857fdF2D6829A03a262952b26CcBB87db8f672A3,qwen3-vl:2b-instruct
3,1,node2,16Uiu2HAmG7UwJR5darevAogbtsY5jjKSthzPRwjpwBWiphqUAA53,network,True,1,0x6B4067111e8e39F6Af1774408D3f32b7a82fE87e,qwen3-vl:2b-instruct
