strategy,N_fraud,N_honest,TP,FP,TN,FN,ERR_fraud,ERR_honest,error_rate,precision,precision_bal,recall,fpr,f1,f1_bal,accuracy,mean_score_honest,mean_score_fraud,config,config_kind,recall_ci_lo,recall_ci_hi
hallucinate_entity,20,19,20,5,14,0,0,0,0.0,0.8,0.7917,1.0,0.2632,0.8889,0.8837,0.8718,4.105,1.15,qwen-27b,judge,0.8389,1.0
negate,20,19,20,5,14,0,0,0,0.0,0.8,0.7917,1.0,0.2632,0.8889,0.8837,0.8718,4.105,1.1,qwen-27b,judge,0.8389,1.0
random_topic,20,19,19,5,14,1,0,0,0.0,0.7917,0.7831,0.95,0.2632,0.8636,0.8585,0.8462,4.105,1.2,qwen-27b,judge,0.7639,0.9911
swap_incorrect,20,19,19,5,14,1,0,0,0.0,0.7917,0.7831,0.95,0.2632,0.8636,0.8585,0.8462,4.105,1.3,qwen-27b,judge,0.7639,0.9911
OVERALL,80,19,78,5,14,2,0,0,0.0,0.9398,0.7875,0.975,0.2632,0.9571,0.8713,0.9293,4.105,1.188,qwen-27b,judge,0.9134,0.9931
HARD(negate+swap),40,19,39,5,14,1,0,0,0.0,0.8864,0.7875,0.975,0.2632,0.9286,0.8713,0.8983,4.105,1.2,qwen-27b,judge,0.8712,0.9956
hallucinate_entity,20,19,2,0,3,0,18,16,0.8718,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.333,1.5,nemotron-120b,judge,0.3424,1.0
negate,20,19,4,0,3,0,16,16,0.8205,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.333,1.5,nemotron-120b,judge,0.5101,1.0
random_topic,20,19,3,0,3,0,17,16,0.8462,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.333,1.0,nemotron-120b,judge,0.4385,1.0
swap_incorrect,20,19,4,0,3,0,16,16,0.8205,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.333,1.25,nemotron-120b,judge,0.5101,1.0
OVERALL,80,19,13,0,3,0,67,16,0.8384,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.333,1.308,nemotron-120b,judge,0.7719,1.0
HARD(negate+swap),40,19,8,0,3,0,32,16,0.8136,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.333,1.375,nemotron-120b,judge,0.6756,1.0
hallucinate_entity,20,19,20,3,16,0,0,0,0.0,0.8696,0.8636,1.0,0.1579,0.9302,0.9268,0.9231,3.947,1.3,minimax-m3,judge,0.8389,1.0
negate,20,19,20,3,16,0,0,0,0.0,0.8696,0.8636,1.0,0.1579,0.9302,0.9268,0.9231,3.947,1.1,minimax-m3,judge,0.8389,1.0
random_topic,20,19,19,3,16,1,0,0,0.0,0.8636,0.8575,0.95,0.1579,0.9048,0.9014,0.8974,3.947,1.15,minimax-m3,judge,0.7639,0.9911
